"DateCreation","id_Produit","Montant","Montant_Article_Commandé","Bank_Charge","Largeur","Longueur","Profondeur","FraisExpe","Paiment","Mode_Transport","DaviseFraisE","Nom_Produit_40","Identifiant_Utilisateur","Quantite"
2023-07-13,5502,717609.798841099,64.1,6.41,10,50,10,12.82,"ESPECE","groupage","EUR","find. Derbys Femme",19,1.00000000000001
2023-07-14,5500,1078199.45266155,30.99,3.099,10,50,10,12,"ESPECE","groupage","EUR","GRACE KARIN Femme Robe de Plage à Bretel",19,1.00000000000005
2023-07-15,5501,974148.815331714,856.25,85.625,4.55,4.55,1.04,171.25,"ESPECE","groupage","EUR","Amazfit GTR 3 Pro Montre",19,0.999999999999983
2023-07-16,5499,782260.7157997,35.95,3.595,10,50,10,12,"ESPECE","groupage","EUR","Levi's Housemark Polo T-Shirt Homme",19,1
2023-07-17,5498,737620.762870525,32.95,3.295,10,50,10,12,"ESPECE","groupage","EUR","PUMA Smash WNS V2 L, Sneaker Basse Femme",19,1
2023-07-18,5495,794661.857655899,34.99,3.499,30.02,18.01,40.01,457.224,"ESPECE","groupage","EUR","Eastpak Padded Pak'r Sac à&nbsp;Dos, 40 ",19,1
2023-07-19,5497,838318.846153722,84.9,8.49,0,0,0,156,"ESPECE","groupage","EUR","Rekkem Table de Pique Nique Pliante Blan",19,1
2023-07-20,5496,835057.453620634,856.25,85.625,4.55,4.55,1.04,171.25,"ESPECE","groupage","EUR","Amazfit GTR 3 Pro Montre",19,0.999999999999983
2023-07-21,5494,816032.91577322,32.95,3.295,10,50,10,12,"ESPECE","groupage","EUR","PUMA Smash WNS V2 L, Sneaker Basse Femme",19,1
2023-07-22,5493,808770.44558353,12.39,1.239,10,50,10,12,"ESPECE","groupage","EUR","Onsoyours Robes Femmes Élégantes À Manch",19,1
2023-07-23,5490,813147.296235636,39.9,3.99,21.84,32.51,12.19,7.98,"WAVE","groupage","EUR","PUMA Smash V2 L, Baskets Basses Mixte",19,1
2023-07-24,5489,818040.113711375,39.9,3.99,21.84,32.51,12.19,7.98,"Espece","groupage","EUR","PUMA Smash V2 L, Baskets Basses Mixte",19,1
2023-07-25,5488,818485.231777613,35.99,3.599,10,50,10,12,"WAVE","groupage","EUR","FUJEAK Hommes Chaussures De Course Homme",19,1
2023-07-26,5487,816718.40757563,35.99,3.599,10,50,10,12,"CARTE BANCAIRE","groupage","EUR","FUJEAK Hommes Chaussures De Course Homme",19,1
2023-07-27,5486,815743.158805483,35.99,3.599,10,50,10,12,"ORANGE MONEY","groupage","EUR","FUJEAK Hommes Chaussures De Course Homme",19,1
